Date,Open,High,Low,Close,Adj Close,Volume,Status,Gross Amount,,,,
22-08-2023,409,415.73999,407.399994,413.170013,413.170013,3603300,Profit,4.170013,,,,
23-08-2023,418.399994,437.019989,417.709991,427.549988,427.549988,8174700,Profit,9.149994,,,,
24-08-2023,425.410004,427.589996,406.170013,406.929993,406.929993,5687800,Loss,-18.480011,,,,Result
25-08-2023,412,419.25,407.559998,416.029999,416.029999,5390900,Profit,4.029999,,,,Profit
28-08-2023,418.040009,419.829987,413.269989,418.059998,418.059998,2928600,Profit,0.019989,,,,Loss
29-08-2023,416,432.170013,414.5,429.98999,429.98999,4486700,Profit,13.98999,,,,
30-08-2023,430.850006,438.160004,428.350006,434.670013,434.670013,3625400,Profit,3.820007,,,,
31-08-2023,431.230011,437.149994,431.230011,433.679993,433.679993,3803000,Profit,2.449982,,,,
01-09-2023,437.730011,445.5,435.929993,439.880005,439.880005,4792100,Profit,2.149994,,,,
05-09-2023,438.390015,453.450012,438,448.679993,448.679993,6155900,Profit,10.289978,,,,
06-09-2023,448.609985,451.390015,440.48999,445.76001,445.76001,3862300,Loss,-2.849975,,,,
07-09-2023,441.149994,444.600006,436.700012,443.140015,443.140015,2922700,Profit,1.990021,,,,
08-09-2023,443.559998,446.809998,438.850006,442.799988,442.799988,2697500,Loss,-0.76001,,,,
11-09-2023,443.070007,449.890015,442.75,445.359985,445.359985,2913800,Profit,2.289978,,,,
12-09-2023,442.850006,445.440002,434.119995,434.690002,434.690002,3124000,Loss,-8.160004,,,,
13-09-2023,435.5,438.399994,410.690002,412.23999,412.23999,11843000,Loss,-23.26001,,,,
14-09-2023,410.399994,411.390015,400,400.48999,400.48999,10709000,Loss,-9.910004,,,,
15-09-2023,401,404.700012,395.029999,396.940002,396.940002,9110700,Loss,-4.059998,,,,
18-09-2023,395.5,399.470001,392.600006,394.399994,394.399994,4704700,Loss,-1.100006,,,,
19-09-2023,392.839996,398.230011,390.25,396.200012,396.200012,4076800,Profit,3.360016,,,,
20-09-2023,397.049988,397.98999,386.119995,386.299988,386.299988,3866600,Loss,-10.75,,,,
21-09-2023,386.5,395.899994,383.420013,384.149994,384.149994,5547900,Loss,-2.350006,,,,
22-09-2023,385,386.880005,378.359985,379.809998,379.809998,3692800,Loss,-5.190002,,,,
25-09-2023,382.899994,386.619995,380.809998,384.799988,384.799988,3757300,Profit,1.899994,,,,
26-09-2023,382.880005,384.559998,377.359985,379.25,379.25,4089400,Loss,-3.630005,,,,
27-09-2023,382.399994,384.220001,376.25,377.589996,377.589996,3843500,Loss,-4.809998,,,,
28-09-2023,375.600006,378.959991,371.100006,376.359985,376.359985,4369900,Profit,0.759979,,,,
29-09-2023,380,382.579987,375.350006,377.600006,377.600006,4198700,Loss,-2.399994,,,,
02-10-2023,377.480011,384.809998,376.799988,380.329987,380.329987,3102100,Profit,2.849976,,,,
03-10-2023,377.109985,394.899994,372.850006,376.75,376.75,8878100,Loss,-0.359985,,,,
04-10-2023,376.5,380.220001,373.579987,376.899994,376.899994,4303700,Profit,0.399994,,,,
05-10-2023,378.01001,378.600006,367.23999,372.589996,372.589996,5034800,Loss,-5.420014,,,,
06-10-2023,368.429993,382.519989,367.769989,381.51001,381.51001,4773400,Profit,13.080017,,,,
09-10-2023,378.049988,387.170013,377.76001,385.950012,385.950012,3299800,Profit,7.900024,,,,
10-10-2023,385.579987,388.700012,372.25,373.320007,373.320007,7288900,Loss,-12.25998,,,,
11-10-2023,372.779999,377.809998,365.339996,365.929993,365.929993,9151400,Loss,-6.850006,,,,
12-10-2023,366.480011,368.829987,359.049988,361.200012,361.200012,7376100,Loss,-5.279999,,,,
13-10-2023,355.640015,358.929993,352.049988,355.679993,355.679993,6312600,Profit,0.039978,,,,
16-10-2023,356.209991,363.079987,354.769989,360.820007,360.820007,5128900,Profit,4.610016,,,,
17-10-2023,361.100006,362.700012,353.890015,355.720001,355.720001,5908400,Loss,-5.380005,,,,
18-10-2023,351,354.790009,344.730011,346.190002,346.190002,11429600,Loss,-4.809998,,,,
19-10-2023,404.73999,408.950012,392.26001,401.769989,401.769989,28074400,Loss,-2.970001,,,,
20-10-2023,405.630005,410.640015,398.01001,400.959991,400.959991,12768900,Loss,-4.670014,,,,
23-10-2023,403.320007,407.540009,398.519989,406.839996,406.839996,7390000,Profit,3.519989,,,,
24-10-2023,409.679993,416.690002,408.390015,413.730011,413.730011,6459200,Profit,4.050018,,,,
25-10-2023,416.019989,418.839996,410.109985,411.25,411.25,6299600,Loss,-4.769989,,,,
26-10-2023,411.420013,417.309998,401.540009,403.540009,403.540009,6849700,Loss,-7.880004,,,,
27-10-2023,406.420013,410.209991,395.619995,397.869995,397.869995,4997600,Loss,-8.550018,,,,
30-10-2023,402.350006,412.820007,399.410004,410.079987,410.079987,5317100,Profit,7.729981,,,,
31-10-2023,409.23999,412.519989,404.630005,411.690002,411.690002,3877600,Profit,2.450012,,,,
01-11-2023,414.769989,420.600006,414.179993,420.190002,420.190002,4806100,Profit,5.420013,,,,
02-11-2023,421.170013,426.690002,417.100006,424.709991,424.709991,4476000,Profit,3.539978,,,,
03-11-2023,428.76001,434.820007,425.529999,432.359985,432.359985,3664800,Profit,3.599975,,,,
06-11-2023,434.380005,435.029999,429.609985,434.73999,434.73999,3003200,Profit,0.359985,,,,
07-11-2023,436.179993,437.640015,431,434.609985,434.609985,3291100,Loss,-1.570008,,,,
08-11-2023,435,438.070007,433.679993,436.649994,436.649994,2356800,Profit,1.649994,,,,
09-11-2023,438.029999,440.380005,434.350006,435.149994,435.149994,2735500,Loss,-2.880005,,,,
10-11-2023,437.480011,447.480011,435.51001,447.23999,447.23999,4440600,Profit,9.759979,,,,
13-11-2023,447.25,448.429993,442.600006,444.619995,444.619995,2896100,Loss,-2.630005,,,,
14-11-2023,448.779999,454.079987,445.640015,448.649994,448.649994,4060900,Loss,-0.130005,,,,
15-11-2023,452.809998,462.75,452.450012,461.940002,461.940002,5035300,Profit,9.130004,,,,
16-11-2023,463,467.279999,459.649994,466.950012,466.950012,3656000,Profit,3.950012,,,,
17-11-2023,466.950012,467.649994,462.76001,465.910004,465.910004,2798500,Loss,-1.040008,,,,
20-11-2023,465.399994,476.76001,465.399994,474.470001,474.470001,3617600,Profit,9.070007,,,,
21-11-2023,472.630005,477.019989,471.209991,474.950012,474.950012,2997700,Profit,2.320007,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
